identifier,description,Justification,Salutation,Closing,Self-reference,image,language,format,Script,Material,Business Type,Title,date,latitude,longitude,lat/long,spatial coverage,dcterms:creator
20211103_154124.jpg,הכניסה ללא מסכה אסורה,,,,,אישה לבן|מסכה כחול,Hebrew,Printed,Square,paper|printer,סופרמרקט,"2021-11-03 - נפת באר שבע, מחוז הדרום",03/11/2021,29.542502,34.929212,29.542501972222222/34.92921197222222,"שדרות ששת הימים, אילת, נפת באר שבע, מחוז הדרום, 88104, ישראל",Kseniia Martin
20211108_173955.jpg,כניסה ללא מסכה אסורה,,,,,גבר ואישה עם מסכות,Hebrew,Printed,Square,paper|printer,סופרמרקט,"2021-11-08 - נווה זאב, באר שבע",08/11/2021,31.238346,34.773593,31.23834627/34.77359334972222,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
20211108_174221.jpg,הכניסה רק עם מסכה!вход в фотосалон строго в маске,,,,פוטו סטודיו,לוגו משרד הבריאות|קורונה,Hebrew|Russian,Printed,Square,paper|printer,חנות צילום והדפסה,"2021-11-08 - באר שבע, נפת באר שבע",08/11/2021,31.238596,34.774358,31.23859599/34.77435814972222,"גרשון שופמן, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
20211108_174411.jpg,הכניסה מותרת רק עם מסכה הכניסה מותרת עד 10 אנשים נא לשמור מרחק של שני מטרים,,,,,אישה עם מסכה|לוגו תו הסגול,Hebrew,Printed,Square,paper|printer,סופרמרקט,"2021-11-08 - באר שבע, נפת באר שבע",08/11/2021,31.23901,34.774785,31.23900983/34.77478534,"יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
20211108_174758.jpg,הכניסה ללא מסכה אסורה! יחד נלחמים בנגיף הקורונה,,,יחד נלחמים בנגיף הקורונה,,מסכה,Hebrew,Printed,Square,paper|printer,מוצרים לבית ולחצר,"2021-11-08 - נווה זאב, באר שבע",08/11/2021,31.23886,34.773965,31.2388601/34.77396519972222,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
20211108_175205.jpg,אסור להכנס בלי מסכה,,,,,Woman,Hebrew,hand written,Cursive,paper|marker pen,חנות תפירה,"2021-11-08 - באר שבע, נפת באר שבע",08/11/2021,31.238594,34.774384,31.2385935/34.7743842,"גרשון שופמן, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
20211023_203052.jpg,חובה עטיית מסכה בשטח החנות,,,,חנות,מסכה,Hebrew,Printed,Square,paper|printer,חנות אופנה,"2021-10-23 - נווה זאב, באר שבע",23/10/2021,31.238905,34.773756,31.23890459/34.773756399999996,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
20211023_203121.jpg,יש להקפיד על עטיית מסכות בכניסה לחנות,,,,חנות|אופטיקנה,,Hebrew,Printed,Square,paper|printer,חנות אופטיקה,"2021-10-23 - נווה זאב, באר שבע",23/10/2021,31.238905,34.773756,31.23890459/34.773756399999996,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
20211023_203202.jpg,הכניסה ללא מסכה אסורה,,,,,גבר עם מסכה,Hebrew,Printed,Square,paper|printer,חנות פרחים,"2021-10-23 - נווה זאב, באר שבע",23/10/2021,31.238891,34.773654,31.23889069/34.77365355972222,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
20211023_203424.jpg,בעסק זה שומרים על הנחיות! ומונעים התפרצות מחודשת מרחק 2 מטר מאדם לאדם | מסכה המסכה את הפה והאף | היגיינה אישית חיטוי ידיים,בהתאם להנחיות,,שומרים על ההנחיות - שומרים על השגרה!,,שני אנשים וחץ בינייהם 2מטר |גבר ואישה עם מסכות | סבון ויד,Hebrew,Printed,Square,paper|printer,סופרמרקט,"2021-10-23 - נווה זאב, באר שבע",23/10/2021,31.239235,34.77366,31.239235449722223/34.77366031972222,"מרכז מסחרי נווה זאב/שדרות יוהנה ז'בוטינסקי, יוהנה זבוטינסקי, נווה זאב, באר שבע, נפת באר שבע, מחוז הדרום, 8426306, ישראל",Kseniia Martin
